,item_1,item_2,item_3
3938,black tea,eggs,whole wheat rice
3940,frozen vegetables,tomatoes,parmesan cheese
3941,red wine,parmesan cheese,ground beef
3942,pickles,cereals,green tea
3945,frozen vegetables,ground beef,eggs
3946,mineral water,chocolate,milk
3948,mineral water,soup,olive oil
3949,turkey,spaghetti,chicken
3951,red wine,flax seed,cake
3953,milk,butter,green grapes
3954,burgers,ground beef,spaghetti
3959,chocolate,herb & pepper,ground beef
3960,tomato sauce,mineral water,cake
3964,chocolate,grated cheese,spaghetti
3965,ground beef,yams,eggs
3967,milk,green beans,mint
3968,honey,chocolate,french fries
3969,mineral water,chicken,magazines
3971,mineral water,salmon,vegetables mix
3972,spaghetti,milk,olive oil
3973,burgers,eggs,frozen smoothie
3975,mineral water,french wine,chicken
3977,dessert wine,tomatoes,ground beef
3978,ham,ground beef,spaghetti
3979,ground beef,french fries,mushroom cream sauce
3980,shrimp,frozen vegetables,ground beef
3983,blueberries,clothes accessories,french fries
3984,burgers,mineral water,flax seed
3985,milk,cooking oil,low fat yogurt
3986,ham,grated cheese,tomatoes
3987,frozen vegetables,fromage blanc,pancakes
3988,ground beef,spaghetti,mineral water
3989,frozen vegetables,spaghetti,eggs
3990,burgers,red wine,shrimp
3993,herb & pepper,spaghetti,pancakes
3994,mineral water,mint green tea,french fries
3995,fresh tuna,spaghetti,mineral water
3996,bacon,light mayo,low fat yogurt
3997,turkey,fresh tuna,spaghetti
3998,red wine,chocolate,soda
3999,olive oil,pancakes,toothpaste
4002,frozen vegetables,tomatoes,milk
4004,mineral water,avocado,olive oil
4007,frozen vegetables,mineral water,milk
4009,grated cheese,ground beef,tomato sauce
4013,burgers,frozen vegetables,spaghetti
4014,frozen vegetables,frozen smoothie,light mayo
4019,burgers,french fries,frozen smoothie
4020,frozen vegetables,muffins,green grapes
4022,pancakes,cookies,green tea
4024,mineral water,avocado,cake
4027,milk,chicken,eggs
4029,turkey,soup,spinach
4031,escalope,shallot,white wine
4032,frozen vegetables,milk,chicken
4033,butter,whole wheat rice,low fat yogurt
4034,shrimp,tomatoes,carrots
4036,french fries,cookies,mushroom cream sauce
4037,frozen vegetables,avocado,chocolate
4040,pepper,spaghetti,mineral water
4042,frozen vegetables,milk,almonds
4043,red wine,spaghetti,mineral water
4044,tomatoes,mineral water,green tea
4046,grated cheese,frozen vegetables,tomatoes
4050,chocolate,almonds,vegetables mix
4052,frozen vegetables,mineral water,meatballs
4053,mineral water,energy bar,chocolate
4054,milk,french fries,brownies
4055,burgers,milk,cake
4056,turkey,spaghetti,mineral water
4057,ham,ground beef,spaghetti
4059,frozen vegetables,whole wheat pasta,ground beef
4060,milk,fromage blanc,salmon
4062,flax seed,eggs,chicken
4065,burgers,ground beef,mineral water
4067,turkey,burgers,shrimp
4069,mineral water,chocolate,milk
4073,shrimp,frozen vegetables,tomatoes
4075,shrimp,avocado,candy bars
4076,shrimp,tomatoes,mineral water
4077,chocolate,almonds,vegetables mix
4081,frozen vegetables,tomatoes,mineral water
4082,eggs,chocolate,french fries
4083,burgers,eggs,barbecue sauce
4086,tomatoes,energy bar,cake
4088,milk,chicken,eggs
4089,burgers,shrimp,chocolate
4090,shrimp,milk,tomato juice
4091,butter,flax seed,green tea
4093,mineral water,whole wheat rice,cake
4094,shrimp,spaghetti,mineral water
4095,grated cheese,shrimp,tomatoes
4100,ground beef,olive oil,oil
4101,ham,spaghetti,mineral water
4102,mineral water,eggs,whole wheat rice
4104,grated cheese,ground beef,rice
4108,burgers,shrimp,spaghetti
4109,herb & pepper,mineral water,soup
4113,ham,tomatoes,avocado
4114,frozen vegetables,ground beef,spaghetti
4118,frozen vegetables,whole wheat pasta,olive oil
4119,olive oil,cake,chocolate
4120,burgers,red wine,shrimp
4121,turkey,burgers,eggs
4122,ham,ground beef,spaghetti
4125,chicken,oil,cookies
4126,mineral water,whole wheat rice,escalope
4127,shrimp,pepper,energy bar
4128,frozen vegetables,whole wheat rice,cake
4129,burgers,french wine,eggs
4130,mineral water,green tea,honey
4132,shrimp,tomatoes,ground beef
4133,herb & pepper,ground beef,spaghetti
4136,energy bar,chocolate bread,whole weat flour
4138,ham,grated cheese,frozen vegetables
4140,ham,spaghetti,mineral water
4141,burgers,frozen vegetables,tomatoes
4142,turkey,burgers,frozen vegetables
4143,burgers,butter,escalope
4144,mineral water,chocolate,chicken
4145,mineral water,black tea,almonds
4147,ground beef,spaghetti,milk
4148,tomatoes,spaghetti,mineral water
4151,dessert wine,chocolate,spaghetti
4152,shrimp,tomatoes,mineral water
4154,shrimp,soup,butter
4155,fresh tuna,mineral water,eggs
4156,red wine,cooking oil,french fries
4160,burgers,french fries,yogurt cake
4163,tomatoes,mineral water,honey
4165,turkey,spaghetti,olive oil
4167,honey,escalope,low fat yogurt
4169,mineral water,eggs,strawberries
4170,turkey,burgers,whole wheat pasta
4174,burgers,milk,cake
4176,cake,oil,escalope
4179,tomatoes,mineral water,eggplant
4180,ground beef,spaghetti,mineral water
4181,burgers,mineral water,salmon
4183,whole wheat rice,cookies,protein bar
4186,french fries,escalope,pasta
4187,mineral water,chocolate,cereals
4189,frozen vegetables,tomatoes,chicken
4190,dessert wine,ground beef,pepper
4193,ground beef,spaghetti,milk
4194,tomatoes,meatballs,french fries
4196,tomatoes,french fries,strawberries
4197,frozen vegetables,chocolate,eggs
4199,mineral water,eggs,cake
4200,dessert wine,ground beef,spaghetti
4201,turkey,mineral water,eggs
4203,ground beef,spaghetti,mineral water
4208,burgers,milk,eggs
4212,chili,green beans,pancakes
4213,mineral water,milk,chicken
4214,burgers,carrots,french fries
4215,eggs,cake,chicken
4216,grated cheese,tomatoes,yams
4217,soup,french fries,body spray
4219,turkey,mineral water,chocolate
4222,ham,vegetables mix,frozen smoothie
4223,turkey,frozen vegetables,milk
4227,olive oil,salmon,vegetables mix
4229,french fries,escalope,pasta
4230,cider,honey,low fat yogurt
4231,mineral water,soup,avocado
4233,turkey,chocolate,whole wheat rice
4236,spaghetti,mineral water,avocado
4241,herb & pepper,milk,chicken
4242,soup,butter,chocolate
4243,red wine,mineral water,soup
4244,shrimp,ground beef,pepper
4245,eggs,french fries,strawberries
4248,chicken,muffins,cake
4249,frozen vegetables,tomatoes,mineral water
4251,grated cheese,ground beef,whole wheat rice
4252,burgers,grated cheese,mineral water
4253,milk,cookies,white wine
4254,ham,pickles,spaghetti
4255,frozen vegetables,whole wheat rice,energy drink
4256,red wine,spaghetti,mineral water
4257,ground beef,spaghetti,milk
4258,chocolate,mineral water,olive oil
4261,tomatoes,flax seed,chicken
4262,burgers,spaghetti,bug spray
4263,burgers,spaghetti,mineral water
4267,burgers,eggs,low fat yogurt
4268,burgers,black tea,escalope
4270,dessert wine,mineral water,milk
4274,ham,shrimp,tomatoes
4276,mineral water,fromage blanc,cider
4277,vegetables mix,honey,frozen smoothie
4278,avocado,milk,cereals
4279,parmesan cheese,spaghetti,french fries
4280,eggs,chicken,green tea
4281,burgers,ham,tomatoes
4282,burgers,energy bar,eggs
4284,chocolate,frozen smoothie,cottage cheese
4285,mineral water,chocolate,mashed potato
4288,shrimp,whole wheat pasta,milk
4289,eggs,cake,green tea
4290,grated cheese,pepper,pancakes
4295,whole wheat pasta,milk,olive oil
4297,fresh tuna,pepper,tomato sauce
4298,grated cheese,frozen vegetables,french wine
4300,mineral water,whole wheat rice,cooking oil
4301,cooking oil,frozen smoothie,mushroom cream sauce
4303,mineral water,avocado,green tea
4307,burgers,champagne,fresh bread
4308,fresh tuna,ground beef,olive oil
4310,spaghetti,meatballs,vegetables mix
4311,burgers,salmon,eggs
4315,olive oil,cooking oil,cottage cheese
4316,frozen vegetables,olive oil,oatmeal
4318,tomatoes,french fries,sandwich
4320,frozen vegetables,spaghetti,mineral water
4321,turkey,shrimp,tomatoes
4322,burgers,eggs,chicken
4323,turkey,burgers,soup
4324,soup,green tea,escalope
4325,ham,shrimp,milk
4326,spaghetti,mineral water,spinach
4330,spaghetti,mineral water,barbecue sauce
4331,burgers,spaghetti,avocado
4334,mineral water,eggs,bug spray
4335,turkey,burgers,spaghetti
4337,mineral water,black tea,almonds
4338,whole wheat rice,french fries,cookies
4339,oil,french fries,champagne
4343,shrimp,ground beef,cooking oil
4344,mineral water,avocado,meatballs
4345,turkey,herb & pepper,ground beef
4348,burgers,energy bar,almonds
4349,burgers,ham,avocado
4353,dessert wine,ground beef,spaghetti
4355,herb & pepper,red wine,spaghetti
4359,shrimp,tomatoes,ground beef
4363,turkey,mineral water,eggs
4364,turkey,burgers,ham
4366,ham,chocolate,ground beef
4369,whole wheat rice,rice,oil
4370,french wine,rice,french fries
4373,spaghetti,flax seed,french fries
4374,turkey,burgers,mineral water
4375,grated cheese,mineral water,rice
4377,herb & pepper,shrimp,ground beef
4379,turkey,frozen vegetables,spaghetti
4380,red wine,spaghetti,carrots
4384,cereals,champagne,salad
4385,pickles,turkey,parmesan cheese
4386,grated cheese,herb & pepper,tomatoes
4387,grated cheese,frozen vegetables,milk
4388,ground beef,tomato sauce,spaghetti
4389,frozen vegetables,eggs,champagne
4390,grated cheese,mineral water,eggs
4394,burgers,ham,eggs
4395,mineral water,chocolate,chicken
4396,mineral water,chocolate,french fries
4399,red wine,olive oil,chicken
4402,turkey,chocolate,red wine
4403,ground beef,clothes accessories,chocolate
4405,fromage blanc,french fries,escalope
4407,fresh tuna,shrimp,frozen vegetables
4408,burgers,red wine,tomatoes
4411,tomatoes,spaghetti,meatballs
4412,mineral water,chocolate,french fries
4417,grated cheese,spaghetti,mineral water
4419,tomatoes,cookies,green tea
4420,avocado,cider,eggs
4423,cake,chocolate,yogurt cake
4425,burgers,ham,chocolate
4428,chocolate,ground beef,mineral water
4431,mineral water,chicken,chocolate
4432,dessert wine,frozen vegetables,spaghetti
4434,pickles,herb & pepper,tomatoes
4436,fresh tuna,fromage blanc,eggs
4438,cake,gums,green tea
4439,frozen vegetables,tomatoes,parmesan cheese
4440,shrimp,frozen vegetables,milk
4443,ground beef,mineral water,french wine
4445,burgers,mineral water,milk
4449,burgers,frozen vegetables,ground beef
4450,burgers,ham,milk
4451,mineral water,cooking oil,french fries
4452,grated cheese,shrimp,spaghetti
4453,mineral water,pancakes,eggs
4455,eggs,cake,barbecue sauce
4458,fresh tuna,frozen vegetables,spaghetti
4459,burgers,chocolate,french wine
4461,grated cheese,frozen vegetables,mineral water
4463,turkey,frozen vegetables,ground beef
4466,grated cheese,french fries,frozen smoothie
4467,mineral water,vegetables mix,chocolate
4469,ground beef,tomato sauce,spaghetti
4471,shrimp,ground beef,salmon
4477,grated cheese,mineral water,green tea
4478,energy bar,eggs,french fries
4481,turkey,ham,meatballs
4485,ham,soup,olive oil
4486,tomatoes,french fries,cookies
4489,spaghetti,olive oil,eggs
4492,tomatoes,olive oil,french wine
4493,shrimp,spaghetti,mineral water
4494,ham,eggs,honey
4496,soda,escalope,tomato juice
4501,grated cheese,spaghetti,butter
4502,muffins,eggs,pancakes
4508,frozen vegetables,milk,bug spray
4511,mineral water,frozen smoothie,strawberries
4512,chocolate,frozen vegetables,pancakes
4515,spaghetti,avocado,honey
4516,turkey,frozen vegetables,spaghetti
4521,frozen vegetables,spaghetti,mineral water
4522,frozen smoothie,cottage cheese,low fat yogurt
4523,whole wheat pasta,eggs,cake
4524,spaghetti,whole wheat rice,cake
4526,ham,milk,chicken
4527,spaghetti,mineral water,avocado
4530,turkey,mineral water,honey
4531,fromage blanc,honey,chicken
4535,frozen vegetables,avocado,milk
4537,frozen vegetables,tomatoes,fromage blanc
4538,burgers,milk,cereals
4541,turkey,spaghetti,eggs
4542,burgers,vegetables mix,green tea
4543,shrimp,frozen vegetables,tomatoes
4544,mineral water,milk,cake
4546,frozen vegetables,mineral water,low fat yogurt
4547,herb & pepper,spaghetti,escalope
4549,turkey,frozen vegetables,tomatoes
4550,burgers,tomatoes,soup
4551,mineral water,milk,cider
4552,burgers,fresh tuna,tomatoes
4557,ham,spaghetti,hot dogs
4558,burgers,frozen vegetables,chocolate
4560,frozen vegetables,mineral water,pancakes
4561,burgers,butter,whole wheat rice
4564,dessert wine,mineral water,eggs
4565,turkey,red wine,frozen vegetables
4567,french fries,hot dogs,body spray
4568,chocolate,avocado,milk
4569,chocolate,frozen vegetables,tomatoes
4570,burgers,eggs,chocolate
4573,tomatoes,meatballs,butter
4575,mineral water,honey,low fat yogurt
4578,spaghetti,soup,cake
4580,muffins,escalope,white wine
4582,shrimp,milk,olive oil
4586,burgers,spaghetti,avocado
4588,ground beef,spaghetti,mineral water
4590,ham,tomatoes,mineral water
4591,turkey,fresh tuna,frozen vegetables
4592,frozen vegetables,avocado,milk
4593,chocolate,ground beef,spaghetti
4594,ground beef,spaghetti,honey
4595,spaghetti,frozen smoothie,hot dogs
4598,chocolate,grated cheese,cooking oil
4600,red wine,chicken,whole wheat rice
4603,spaghetti,green tea,french fries
4606,herb & pepper,frozen vegetables,mineral water
4607,mineral water,ham,frozen smoothie
4608,chocolate,milk,olive oil
4610,cake,cooking oil,green tea
4611,burgers,mineral water,milk
4613,frozen vegetables,spaghetti,butter
4617,ham,spaghetti,mineral water
4618,mineral water,french wine,eggs
4627,ham,grated cheese,chocolate
4628,frozen vegetables,tomatoes,mineral water
4631,ham,mineral water,milk
4632,turkey,frozen vegetables,spaghetti
4633,olive oil,salmon,honey
4634,frozen vegetables,ground beef,spaghetti
4636,frozen vegetables,olive oil,tomato juice
4637,grated cheese,fromage blanc,cookies
4639,mineral water,cereals,antioxydant juice
4641,mineral water,fromage blanc,french fries
4642,burgers,frozen vegetables,ground beef
4643,grated cheese,spaghetti,mineral water
4644,herb & pepper,mineral water,soup
4648,burgers,frozen vegetables,milk
4649,tomatoes,spaghetti,mineral water
4655,tomato sauce,mineral water,soup
4656,soup,chicken,cooking oil
4657,grated cheese,herb & pepper,spaghetti
4659,red wine,pepper,muffins
4660,ground beef,pepper,avocado
4661,chocolate,cider,muffins
4662,butter,chicken,green tea
4665,mineral water,eggs,cookies
4667,burgers,ham,whole wheat pasta
4668,turkey,bacon,cooking oil
4670,burgers,ham,mineral water
4671,chocolate,tomatoes,mineral water
4673,burgers,whole wheat pasta,almonds
4677,red wine,whole wheat pasta,spaghetti
4678,frozen vegetables,mineral water,low fat yogurt
4679,mineral water,milk,energy bar
4680,hand protein bar,low fat yogurt,honey
4681,eggs,cake,gums
4683,avocado,black tea,whole wheat rice
4686,spaghetti,mineral water,strong cheese
4688,pancakes,energy drink,light mayo
4694,tomatoes,champagne,strawberries
4695,burgers,cider,pancakes
4696,spaghetti,mineral water,hot dogs
4697,frozen vegetables,tomatoes,ground beef
4699,turkey,fromage blanc,french fries
4701,fresh tuna,mineral water,french wine
4702,turkey,herb & pepper,mineral water
4704,shrimp,eggs,french fries
4708,butter,french fries,protein bar
4709,shrimp,tomatoes,spaghetti
4710,mineral water,escalope,shallot
4714,fresh tuna,mineral water,avocado
4715,ham,eggs,champagne
4717,butter,pancakes,eggs
4719,spaghetti,mineral water,meatballs
4720,mineral water,meatballs,chicken
4721,burgers,tomatoes,ground beef
4726,grated cheese,frozen vegetables,tomatoes
4729,ham,grated cheese,black tea
4730,grated cheese,tomatoes,salmon
4731,spaghetti,mineral water,bacon
4736,herb & pepper,tomatoes,mineral water
4737,frozen vegetables,chocolate,champagne
4738,eggs,whole wheat rice,french fries
4740,burgers,spaghetti,milk
4741,almonds,pancakes,eggs
4742,grated cheese,spaghetti,mineral water
4747,fresh tuna,turkey,salmon
4748,spaghetti,mineral water,cooking oil
4752,frozen vegetables,tomatoes,ground beef
4753,frozen vegetables,mineral water,energy bar
4757,turkey,red wine,parmesan cheese
4759,frozen vegetables,spaghetti,chicken
4760,shrimp,soup,milk
4761,mineral water,soup,oil
4762,herb & pepper,ground beef,french fries
4764,turkey,burgers,frozen vegetables
4765,herb & pepper,shrimp,ground beef
4766,herb & pepper,mineral water,cake
4771,burgers,mineral water,cider
4773,milk,green grapes,eggs
4774,grated cheese,mineral water,cake
4775,frozen vegetables,ground beef,mineral water
4776,eggs,cooking oil,chocolate
4777,red wine,mineral water,champagne
4779,mineral water,chocolate,escalope
4781,mineral water,chicken,cereals
4782,burgers,ground beef,mineral water
4786,turkey,herb & pepper,spaghetti
4787,cake,green tea,strawberries
4788,burgers,grated cheese,french wine
4791,burgers,grated cheese,champagne
4792,ground beef,spaghetti,chicken
4794,spaghetti,chocolate,cookies
4795,chocolate,red wine,tomato sauce
4798,spaghetti,yams,whole wheat rice
4803,tomatoes,cake,cooking oil
4804,burgers,chocolate,spaghetti
4805,ground beef,mineral water,french wine
4806,soda,cereals,salt
4807,frozen vegetables,milk,butter
4810,herb & pepper,tomatoes,ground beef
4811,red wine,ground beef,mineral water
4812,spaghetti,muffins,whole wheat rice
4814,tomatoes,ground beef,salmon
4816,turkey,frozen vegetables,ground beef
4817,eggs,cooking oil,chocolate
4819,herb & pepper,cooking oil,escalope
4820,mineral water,milk,whole wheat rice
4821,mineral water,eggs,extra dark chocolate
4822,tomatoes,mineral water,salmon
4823,ham,mineral water,eggs
4824,red wine,mineral water,nonfat milk
4827,ground beef,honey,whole wheat rice
4828,spaghetti,honey,carrots
4829,shrimp,tomatoes,spaghetti
4831,turkey,mineral water,milk
4832,fresh tuna,herb & pepper,frozen vegetables
4833,french fries,escalope,energy drink
4836,turkey,grated cheese,herb & pepper
4838,shrimp,frozen vegetables,tomatoes
4839,parmesan cheese,spaghetti,mineral water
4840,spaghetti,mineral water,chocolate
4841,ground beef,spaghetti,mineral water
4845,chocolate,herb & pepper,spaghetti
4846,frozen vegetables,olive oil,chocolate
4847,frozen vegetables,mineral water,chocolate bread
4848,spaghetti,french wine,low fat yogurt
4849,cooking oil,champagne,escalope
4850,grated cheese,mineral water,chocolate
4851,turkey,red wine,butter
4852,fresh tuna,chocolate,ground beef
4855,spinach,eggs,whole wheat rice
4857,spaghetti,mineral water,cooking oil
4858,chocolate,frozen vegetables,ground beef
4859,tomatoes,spaghetti,frozen smoothie
4860,turkey,shrimp,spaghetti
4861,vegetables mix,muffins,spinach
4862,ground beef,pepper,mineral water
4864,burgers,soup,fromage blanc
4865,mineral water,nonfat milk,eggs
4866,herb & pepper,ground beef,spaghetti
4867,grated cheese,pancakes,french fries
4868,turkey,fresh tuna,frozen vegetables
4869,eggs,eggplant,cookies
4871,bacon,eggs,french fries
4873,burgers,almonds,cookies
4875,turkey,mineral water,honey
4876,turkey,ham,mineral water
4878,burgers,tomatoes,mineral water
4880,shrimp,pancakes,oatmeal
4882,flax seed,cooking oil,frozen smoothie
4884,turkey,burgers,eggs
4886,burgers,ground beef,energy bar
4887,spaghetti,mineral water,milk
4888,grated cheese,gums,french fries
4889,spaghetti,mineral water,soup
4890,turkey,shrimp,eggs
4891,herb & pepper,ground beef,salmon
4892,grated cheese,oil,chocolate bread
4893,honey,champagne,cottage cheese
4895,tomatoes,ground beef,butter
4896,burgers,frozen vegetables,mineral water
4897,turkey,eggs,chocolate
4898,chocolate,parmesan cheese,ground beef
4901,grated cheese,mineral water,chocolate
4903,chocolate,whole wheat rice,melons
4904,turkey,mineral water,chicken
4905,whole wheat pasta,spaghetti,milk
4906,shrimp,ground beef,spaghetti
4910,mineral water,whole wheat rice,clothes accessories
4911,mineral water,eggs,french fries
4912,spaghetti,escalope,mayonnaise
4913,shrimp,ground beef,spaghetti
4914,grated cheese,herb & pepper,ground beef
4915,herb & pepper,spaghetti,olive oil
4916,ham,tomatoes,spaghetti
4918,mineral water,chocolate,eggs
4919,chutney,chocolate,champagne
4920,shrimp,frozen vegetables,pepper
4923,chocolate,salmon,vegetables mix
4924,shrimp,frozen vegetables,spaghetti
4925,burgers,chocolate,tomato sauce
4929,grated cheese,ground beef,mineral water
4930,ground beef,pepper,mineral water
4931,shrimp,ground beef,spaghetti
4932,shrimp,frozen vegetables,mineral water
4934,grated cheese,herb & pepper,spaghetti
4935,shrimp,spaghetti,chocolate
4936,turkey,tomatoes,ground beef
4937,shrimp,spaghetti,milk
4938,burgers,ham,grated cheese
4939,spaghetti,mineral water,milk
4940,pepper,spaghetti,eggs
4941,red wine,avocado,french fries
4942,turkey,soup,eggs
4944,chocolate,cookies,champagne
4946,turkey,spaghetti,chocolate
4949,spaghetti,soup,cooking oil
4950,grated cheese,red wine,frozen vegetables
4952,burgers,eggs,cake
4953,mineral water,olive oil,pancakes
4956,red wine,ground beef,spaghetti
4957,turkey,tomatoes,spaghetti
4958,burgers,frozen vegetables,spaghetti
4959,mineral water,meatballs,bug spray
4960,spaghetti,mineral water,chocolate
4962,grated cheese,mineral water,chutney
4964,herb & pepper,red wine,spaghetti
4968,herb & pepper,whole wheat pasta,ground beef
4969,turkey,pickles,chocolate
4971,spaghetti,mineral water,soup
4972,ground beef,mineral water,pancakes
4973,tomatoes,french fries,escalope
4974,burgers,grated cheese,frozen vegetables
4975,spaghetti,chocolate,french fries
4977,ham,mineral water,almonds
4978,grated cheese,spaghetti,mineral water
4979,avocado,eggs,fresh bread
4980,spaghetti,chicken,cooking oil
4981,flax seed,eggs,whole wheat rice
4983,chocolate,mineral water,vegetables mix
4984,ground beef,mineral water,flax seed
4986,butter,muffins,chocolate
4987,turkey,burgers,chocolate
4989,spaghetti,eggs,escalope
4990,pepper,spaghetti,french fries
4991,cake,cookies,babies food
4992,shrimp,ground beef,mineral water
4994,mineral water,honey,light cream
4996,shrimp,ground beef,cooking oil
4997,shrimp,ground beef,tomato sauce
4998,chocolate,milk,olive oil
5001,spaghetti,mineral water,milk
5002,grated cheese,ground beef,mineral water
5004,herb & pepper,frozen vegetables,tomatoes
5005,burgers,ham,frozen vegetables
5006,ground beef,tomato sauce,spaghetti
5007,turkey,herb & pepper,spaghetti
5009,ground beef,tomato sauce,mineral water
5010,burgers,mineral water,gums
5011,cake,french fries,cookies
5012,burgers,shrimp,tomatoes
5014,tomatoes,ground beef,spaghetti
5015,fresh tuna,chocolate,shrimp
5016,ham,mineral water,avocado
5017,spaghetti,chocolate,frozen smoothie
5018,ham,chocolate,shrimp
5020,chocolate,red wine,parmesan cheese
5021,burgers,ground beef,mineral water
5024,chocolate,red wine,spaghetti
5026,mineral water,soup,cake
5027,turkey,tomatoes,mineral water
5029,mineral water,bacon,french fries
5031,spaghetti,mineral water,milk
5034,frozen vegetables,whole wheat pasta,ground beef
5036,cooking oil,cottage cheese,toothpaste
5038,milk,chocolate,cookies
5039,fromage blanc,eggs,french fries
5040,parmesan cheese,eggs,cake
5043,mineral water,eggs,low fat yogurt
5044,burgers,spaghetti,mineral water
5045,grated cheese,energy bar,honey
5046,grated cheese,tomatoes,ground beef
5047,turkey,herb & pepper,gums
5050,french wine,bug spray,green beans
5051,grated cheese,red wine,spaghetti
5052,shrimp,whole wheat pasta,soup
5054,shrimp,spaghetti,vegetables mix
5056,pet food,cottage cheese,yogurt cake
5057,burgers,ground beef,muffins
5058,turkey,tomatoes,french wine
5061,chocolate,turkey,shrimp
5062,chocolate,spaghetti,avocado
5063,tomatoes,mineral water,milk
5064,burgers,chocolate,grated cheese
5065,fresh tuna,herb & pepper,spaghetti
5067,burgers,shrimp,spaghetti
5068,frozen vegetables,spaghetti,mineral water
5069,fresh tuna,frozen vegetables,low fat yogurt
5070,frozen vegetables,eggs,pancakes
5072,chicken,champagne,low fat yogurt
5074,mineral water,milk,escalope
5075,tomatoes,spaghetti,meatballs
5076,eggs,green tea,hot dogs
5077,mineral water,olive oil,pancakes
5078,red wine,whole wheat pasta,spaghetti
5080,olive oil,cottage cheese,fresh bread
5081,burgers,spaghetti,shallot
5083,burgers,herb & pepper,shrimp
5084,ground beef,spaghetti,mineral water
5085,mineral water,soup,french fries
5086,turkey,ham,herb & pepper
5087,butter,chocolate,strawberries
5089,tomatoes,vegetables mix,muffins
5090,frozen vegetables,ground beef,pancakes
5091,ham,burgers,shrimp
5092,spaghetti,honey,french fries
5093,ground beef,spaghetti,sandwich
5096,turkey,herb & pepper,tomatoes
5098,flax seed,cake,salad
5100,turkey,ham,grated cheese
5101,grated cheese,frozen vegetables,milk
5103,frozen vegetables,mineral water,energy bar
5104,grated cheese,frozen vegetables,milk
5105,ground beef,spaghetti,yogurt cake
5106,shrimp,french fries,champagne
5109,fresh tuna,tomatoes,milk
5111,energy bar,butter,soda
5113,shrimp,tomatoes,whole wheat pasta
5114,muffins,honey,mushroom cream sauce
5118,frozen vegetables,tomatoes,whole wheat pasta
5120,mineral water,salmon,cake
5124,meatballs,french wine,mint green tea
5125,grated cheese,ground beef,spaghetti
5126,flax seed,eggs,green tea
5128,turkey,burgers,pepper
5129,burgers,yams,milk
5131,burgers,herb & pepper,frozen vegetables
5133,pepper,mineral water,cookies
5134,frozen vegetables,mineral water,milk
5137,chocolate,french fries,salad
5138,spaghetti,mineral water,whole wheat rice
5139,french fries,escalope,pasta
5141,pancakes,cake,tomato juice
5143,chocolate,french wine,honey
5144,mineral water,chicken,blueberries
5149,ground beef,escalope,pancakes
5150,fresh tuna,frozen vegetables,clothes accessories
5155,burgers,ground beef,yams
5156,spaghetti,flax seed,green tea
5158,ground beef,pepper,spaghetti
5161,frozen vegetables,spaghetti,milk
5162,shrimp,spaghetti,yams
5165,cooking oil,carrots,green tea
5166,spaghetti,vegetables mix,pancakes
5167,frozen vegetables,spaghetti,low fat yogurt
5168,frozen vegetables,spaghetti,milk
5170,turkey,burgers,frozen vegetables
5171,champagne,brownies,light mayo
5172,frozen vegetables,parmesan cheese,spaghetti
5173,fresh tuna,mineral water,honey
5174,spaghetti,black tea,vegetables mix
5175,frozen vegetables,ground beef,spaghetti
5178,red wine,mineral water,green tea
5179,mineral water,avocado,energy bar
5180,pickles,herb & pepper,shrimp
5181,spaghetti,milk,honey
5182,shrimp,spaghetti,butter
5183,burgers,spaghetti,eggs
5184,burgers,milk,eggs
5186,whole wheat pasta,spaghetti,milk
5189,spaghetti,soup,chili
5190,turkey,burgers,grated cheese
5192,butter,whole wheat rice,barbecue sauce
5195,dessert wine,avocado,pancakes
5196,antioxydant juice,chocolate,french fries
5197,mineral water,olive oil,chicken
5200,grated cheese,herb & pepper,french fries
5201,herb & pepper,ground beef,yams
5203,antioxydant juice,green tea,escalope
5205,frozen vegetables,tomatoes,mineral water
5206,chocolate,ground beef,spaghetti
5209,frozen vegetables,milk,energy bar
5212,mineral water,escalope,mashed potato
5214,frozen vegetables,milk,green grapes
5215,shrimp,chocolate,white wine
5216,gums,escalope,pasta
5217,frozen vegetables,spaghetti,soup
5218,red wine,shrimp,frozen vegetables
5219,burgers,red wine,mineral water
5220,frozen vegetables,spaghetti,cake
5222,frozen vegetables,milk,eggs
5223,frozen vegetables,spaghetti,carrots
5224,mineral water,olive oil,cake
5228,ham,frozen vegetables,spaghetti
5229,whole wheat rice,chocolate bread,antioxydant juice
5231,turkey,burgers,mineral water
5232,ham,chocolate,ground beef
5234,burgers,red wine,yams
5235,tomato sauce,spaghetti,almonds
5238,whole wheat rice,oatmeal,frozen smoothie
5240,spaghetti,extra dark chocolate,fresh bread
5241,grated cheese,frozen vegetables,mineral water
5243,parmesan cheese,ground beef,mineral water
5244,dessert wine,grated cheese,shrimp
5246,shrimp,frozen vegetables,pepper
5249,energy bar,chocolate,cottage cheese
5250,energy bar,whole wheat rice,cake
5251,spaghetti,mineral water,whole wheat rice
5252,frozen vegetables,yams,almonds
5253,herb & pepper,ground beef,honey
5254,green grapes,cooking oil,french fries
5256,grated cheese,chocolate,french fries
5257,eggs,chocolate,shampoo
5258,pancakes,hot dogs,sparkling water
5259,mineral water,oatmeal,eggplant
5261,grated cheese,spaghetti,soup
5262,turkey,ham,tomatoes
5268,french wine,eggs,chicken
5269,frozen vegetables,ground beef,mineral water
5270,milk,cooking oil,frozen smoothie
5271,frozen vegetables,mineral water,fromage blanc
5276,red wine,shrimp,mineral water
